# Matter power spectrum P(k) at redshift z=1
# for k=1.0713e-05 to 30.303 h/Mpc,
# number of wavenumbers equal to 1159
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.071296622603e-05       1.529623989144e+01 
       1.083701652843e-05       1.546748285252e+01 
       1.096250326563e-05       1.564064412840e+01 
       1.108944307077e-05       1.581574289960e+01 
       1.121785276958e-05       1.599280150634e+01 
       1.134774938262e-05       1.617184369387e+01 
       1.147915012755e-05       1.635289008971e+01 
       1.161207242139e-05       1.653596168327e+01 
       1.174653388286e-05       1.672108382616e+01 
       1.188255233467e-05       1.690827831489e+01 
       1.202014580592e-05       1.709756922860e+01 
       1.215933253447e-05       1.728897833851e+01 
       1.230013096939e-05       1.748253024513e+01 
       1.244255977334e-05       1.767824893689e+01 
       1.258663782511e-05       1.787615984726e+01 
       1.273238422209e-05       1.807628468615e+01 
       1.287981828281e-05       1.827865143415e+01 
       1.302895954949e-05       1.848328196738e+01 
       1.317982779065e-05       1.869020535253e+01 
       1.333244300370e-05       1.889944312782e+01 
       1.348682541764e-05       1.911102526281e+01 
       1.364299549567e-05       1.932497504660e+01 
       1.380097393798e-05       1.954131997799e+01 
       1.396078168444e-05       1.976008348491e+01 
       1.412243991739e-05       1.998130175224e+01 
       1.428597006445e-05       2.020499169977e+01 
       1.445139380137e-05       2.043119075081e+01 
       1.461873305488e-05       2.065992058860e+01 
       1.478801000563e-05       2.089120887800e+01 
       1.495924709109e-05       2.112508513774e+01 
       1.513246700854e-05       2.136158225293e+01 
       1.530769271810e-05       2.160073014562e+01 
       1.548494744576e-05       2.184255042214e+01 
       1.566425468642e-05       2.208708049170e+01 
       1.584563820708e-05       2.233434269828e+01 
       1.602912204992e-05       2.258438052422e+01 
       1.621473053552e-05       2.283721388239e+01 
       1.640248826609e-05       2.309287761096e+01 
       1.659242012872e-05       2.335140357185e+01 
       1.678455129866e-05       2.361282374569e+01 
       1.697890724270e-05       2.387717012948e+01 
       1.717551372250e-05       2.414447591046e+01 
       1.737439679804e-05       2.441477387516e+01 
       1.757558283105e-05       2.468809828024e+01 
       1.777909848854e-05       2.496448054132e+01 
       1.798497074627e-05       2.524395959732e+01 
       1.819322689239e-05       2.552656441832e+01 
       1.840389453103e-05       2.581233353203e+01 
       1.861700158595e-05       2.610130112437e+01 
       1.883257630428e-05       2.639350692039e+01 
       1.905064726019e-05       2.668898501184e+01 
       1.927124335876e-05       2.698776805439e+01 
       1.949439383976e-05       2.728989272011e+01 
       1.972012828155e-05       2.759540353730e+01 
       1.994847660499e-05       2.790433416034e+01 
       2.017946907739e-05       2.821672337604e+01 
       2.041313631656e-05       2.853260729007e+01 
       2.064950929484e-05       2.885202754336e+01 
       2.088861934321e-05       2.917502510726e+01 
       2.113049815545e-05       2.950163829925e+01 
       2.137517779233e-05       2.983190925389e+01 
       2.162269068587e-05       3.016587415769e+01 
       2.187306964364e-05       3.050357935356e+01 
