# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       4.587264230594e+06       3.591574272275e-11       1.010341557976e-01       4.541107763964e+07       1.444370181534e+04       3.148651994006e-03       6.625709113859e+10       5.833036606378e-02       1.218412867965e+15       1.928544856692e+11       1.253554156850e+12       4.737258939117e+03      -4.000000000000e-01       8.423066957816e+14       2.062165972394e+15       2.062165972394e+15       6.869065212470e+14      -2.719979229414e+16       2.058727260857e-04       5.839872712165e-02 
       4.538219868597e+06       3.669612444329e-11       1.021258341061e-01       4.444541939725e+07       1.444370072366e+04       3.182679103085e-03       6.554870404390e+10       5.896060921905e-02       1.167136325496e+15       1.867347207355e+11       1.213775684781e+12       4.646482684409e+03      -4.000000000000e-01       8.068584694914e+14       1.975395305397e+15       1.975395305397e+15       6.579982649938e+14      -2.577662894525e+16       2.060019702202e-04       5.837323341216e-02 
       4.489699860288e+06       3.749346137137e-11       1.032293059307e-01       4.350029748080e+07       1.444369962019e+04       3.217073936473e-03       6.484789061052e+10       5.959766054731e-02       1.118017741036e+15       1.808091515589e+11       1.175259485133e+12       4.557445901511e+03      -4.000000000000e-01       7.729020712412e+14       1.892275880918e+15       1.892275880918e+15       6.303066040905e+14      -2.442793017648e+16       2.061312391746e-04       5.834789209458e-02 
       4.441698599584e+06       3.830812185593e-11       1.043446986350e-01       4.257527513219e+07       1.444369850480e+04       3.251840468039e-03       6.415456986528e+10       6.024159356255e-02       1.070966297566e+15       1.750716158125e+11       1.137965502781e+12       4.470115258325e+03      -4.000000000000e-01       7.403747178927e+14       1.812654052582e+15       1.812654052582e+15       6.037803384845e+14      -2.314979971436e+16       2.062605332329e-04       5.832270426400e-02 
       4.394210540338e+06       3.914048224747e-11       1.054721409491e-01       4.166992488229e+07       1.444369737736e+04       3.286982714593e-03       6.346866170074e+10       6.089248257189e-02       1.025895000074e+15       1.695161467156e+11       1.101854953651e+12       4.384458061492e+03      -4.000000000000e-01       7.092162685168e+14       1.736382639695e+15       1.736382639695e+15       5.783704228618e+14      -2.193854515522e+16       2.063898526823e-04       5.829767102842e-02 
       4.347230195701e+06       3.999092707168e-11       1.066117630016e-01       4.078382835339e+07       1.444369623774e+04       3.322504736352e-03       6.279008686591e+10       6.155040268414e-02       9.827205147055e+14       1.641369668290e+11       1.066890284388e+12       4.300442244139e+03      -4.000000000000e-01       6.793691131980e+14       1.663320655159e+15       1.663320655159e+15       5.540298759661e+14      -2.079066729779e+16       2.065191978134e-04       5.827279350881e-02 
       4.300752137483e+06       4.085984920623e-11       1.077636963200e-01       3.991657606589e+07       1.444369508580e+04       3.358410637411e-03       6.211876695711e+10       6.221542981836e-02       9.413630146883e+14       1.589284820461e+11       1.033035133300e+12       4.218036353826e+03      -4.000000000000e-01       6.507780665165e+14       1.593333044824e+15       1.593333044824e+15       5.307136937332e+14      -1.970285003389e+16       2.066485689201e-04       5.824807283932e-02 
       4.254770995532e+06       4.174765006243e-11       1.089280738506e-01       3.906776724900e+07       1.444369392142e+04       3.394704566212e-03       6.145462440891e+10       6.288764071265e-02       9.017460327350e+14       1.538852757758e+11       1.000254292543e+12       4.137209540802e+03      -4.000000000000e-01       6.233902655146e+14       1.526290437822e+15       1.526290437822e+15       5.083787660816e+14      -1.867195076822e+16       2.067779662993e-04       5.822351016736e-02 
       4.209281457109e+06       4.265473977153e-11       1.101050299767e-01       3.823700965553e+07       1.444369274447e+04       3.431390716029e-03       6.079758248516e+10       6.356711293300e-02       8.637963196616e+14       1.490021033091e+11       9.685136715093e+11       4.057931546500e+03      -4.000000000000e-01       5.971550719566e+14       1.462068907397e+15       1.462068907397e+15       4.869837972044e+14      -1.769499133932e+16       2.069073902518e-04       5.819910665379e-02 
       4.164278266276e+06       4.358153737341e-11       1.112947005313e-01       3.742391938062e+07       1.444369155480e+04       3.468473325449e-03       6.014756527012e+10       6.425392488211e-02       8.274437089541e+14       1.442738863651e+11       9.377802613732e+11       3.980172692178e+03      -4.000000000000e-01       5.720239787015e+14       1.400549741807e+15       1.400549741807e+15       4.664892292169e+14      -1.676914941566e+16       2.070368410815e-04       5.817486347304e-02 
       4.119756223288e+06       4.452847101003e-11       1.124972228117e-01       3.662812068432e+07       1.444369035228e+04       3.505956678862e-03       5.950449765972e+10       6.494815580848e-02       7.926209870355e+14       1.396957078096e+11       9.080221007626e+11       3.903903867800e+03      -4.000000000000e-01       5.479505200171e+14       1.341619224865e+15       1.341619224865e+15       4.468571690160e+14      -1.589175034187e+16       2.071663190959e-04       5.815078181325e-02 
       4.075710183994e+06       4.549597812200e-11       1.137127355996e-01       3.584924581790e+07       1.444368913676e+04       3.543845106956e-03       5.886830535283e+10       6.564988581548e-02       7.592637689918e+14       1.352628065418e+11       8.792082425215e+11       3.829096521084e+03      -4.000000000000e-01       5.248901856678e+14       1.285168425713e+15       1.285168425713e+15       4.280513182183e+14      -1.506025941169e+16       2.072958246059e-04       5.812686287639e-02 
       4.032135059239e+06       4.648450565269e-11       1.149413791700e-01       3.508693485394e+07       1.444368790812e+04       3.582142987220e-03       5.823891484273e+10       6.635919587056e-02       7.273103795293e+14       1.309705725425e+11       8.513087215263e+11       3.755722646935e+03      -4.000000000000e-01       5.028003386177e+14       1.231092997445e+15       1.231092997445e+15       4.100369060475e+14      -1.427227454516e+16       2.074253579261e-04       5.810310787846e-02 
       3.989025814282e+06       4.749451025341e-11       1.161832953130e-01       3.434083551994e+07       1.444368666620e+04       3.620854744443e-03       5.761625340857e+10       6.707616781457e-02       6.967017389404e+14       1.268145420804e+11       8.242945235229e+11       3.683754776886e+03      -4.000000000000e-01       4.816401361981e+14       1.179292984208e+15       1.179292984208e+15       3.927806250447e+14      -1.352551934905e+16       2.075549193745e-04       5.807951804958e-02 
       3.946377468206e+06       4.852645849488e-11       1.174386273506e-01       3.361060303554e+07       1.444368541087e+04       3.659984851235e-03       5.700024910700e+10       6.780088437116e-02       6.673812538696e+14       1.227903930698e+11       7.981375549539e+11       3.613165968850e+03      -4.000000000000e-01       4.613704545917e+14       1.129672636413e+15       1.129672636413e+15       3.762505694857e+14      -1.281783654030e+16       2.076845092729e-04       5.805609463420e-02 
       3.904185093350e+06       4.958082708020e-11       1.187075201487e-01       3.289589995317e+07       1.444368414198e+04       3.699537828533e-03       5.639083076385e+10       6.853342915625e-02       6.392947126756e+14       1.188939405757e+11       7.728106137418e+11       3.543929796927e+03      -4.000000000000e-01       4.419538164955e+14       1.082140233729e+15       1.082140233729e+15       3.604161763890e+14      -1.214718171372e+16       2.078141279467e-04       5.803283889117e-02 
       3.862443814736e+06       5.065810306818e-11       1.199901201380e-01       3.219639600208e+07       1.444368285938e+04       3.739518246131e-03       5.578792796589e+10       6.927388668766e-02       6.123901851982e+14       1.151211324616e+11       7.482873610007e+11       3.476020341660e+03      -4.000000000000e-01       4.233543218276e+14       1.036607915523e+15       1.036607915523e+15       3.452481690072e+14      -1.151161743564e+16       2.079437757249e-04       5.800975209397e-02 
       3.821148809506e+06       5.175878409675e-11       1.212865753278e-01       3.151176793572e+07       1.444368156292e+04       3.779930723206e-03       5.519147105273e+10       7.002234239484e-02       5.866179267423e+14       1.114680451761e+11       7.245422936446e+11       3.409412180261e+03      -4.000000000000e-01       4.055375813502e+14       9.929915184347e+14       9.929915184347e+14       3.307185026961e+14      -1.090930764673e+16       2.080734529404e-04       5.798683553081e-02 
       3.780295306366e+06       5.288337861327e-11       1.225970353244e-01       3.084169938235e+07       1.444368025246e+04       3.820779928849e-03       5.460139110871e+10       7.077888262869e-02       5.619302861035e+14       1.079308796716e+11       7.015507178655e+11       3.344080377115e+03      -4.000000000000e-01       3.884706530866e+14       9.512104207910e+14       9.512104207910e+14       3.168003130620e+14      -1.033851235763e+16       2.082031599298e-04       5.796409050483e-02 
       3.739878585032e+06       5.403240610704e-11       1.239216513495e-01       3.018588069879e+07       1.444367892785e+04       3.862070582607e-03       5.401761995502e+10       7.154359467138e-02       5.382816174643e+14       1.045059574543e+11       6.792887234532e+11       3.280000474366e+03      -4.000000000000e-01       3.721219814131e+14       9.111873935616e+14       9.111873935616e+14       3.034678662911e+14      -9.797582622140e+15       2.083328970337e-04       5.794151833419e-02 
       3.699893975690e+06       5.520639735174e-11       1.252605762529e-01       2.954400882737e+07       1.444367758892e+04       3.903807455029e-03       5.344009014174e+10       7.231656674651e-02       5.156281959976e+14       1.011897167583e+11       6.577331589290e+11       3.217148482862e+03      -4.000000000000e-01       3.564613387152e+14       8.728484575917e+14       8.728484575917e+14       2.906965115696e+14      -9.284955773446e+15       2.084626645965e-04       5.791912035228e-02 
       3.660336858450e+06       5.640589464976e-11       1.266139645377e-01       2.891578715582e+07       1.444367623553e+04       3.945995368212e-03       5.286873494012e+10       7.309788802916e-02       4.939281370228e+14       9.797870884157e+10       6.368616074702e+11       3.155500873144e+03      -4.000000000000e-01       3.414597694984e+14       8.361227468407e+14       8.361227468407e+14       2.784626355058e+14      -8.799150909599e+15       2.085924629663e-04       5.789689790789e-02 
       3.621202662815e+06       5.763145208266e-11       1.279819723695e-01       2.830092538021e+07       1.444367486753e+04       3.988639196365e-03       5.230348833480e+10       7.388764865617e-02       4.731413185635e+14       9.486959439950e+10       6.166523635967e+11       3.095034566640e+03      -4.000000000000e-01       3.270895368518e+14       8.009423773764e+14       8.009423773764e+14       2.667436184705e+14      -8.338764615225e+15       2.087222924955e-04       5.787485236533e-02 
       3.582486867155e+06       5.888363576533e-11       1.293647576040e-01       2.769913937079e+07       1.444367348474e+04       4.031743866368e-03       5.174428501624e+10       7.468593973643e-02       4.532293071647e+14       9.185914009215e+10       5.970844105990e+11       3.035726926974e+03      -4.000000000000e-01       3.133240711639e+14       7.672423218823e+14       7.672423218823e+14       2.555177927750e+14      -7.902466907086e+15       2.088521535403e-04       5.785298510461e-02 
       3.544184998182e+06       6.016302410875e-11       1.307624797937e-01       2.711015104064e+07       1.444367208702e+04       4.075314358340e-03       5.119106037315e+10       7.549285336140e-02       4.341552868319e+14       8.894421518169e+10       5.781373986810e+11       2.977555751540e+03      -4.000000000000e-01       3.001379209974e+14       7.349602894462e+14       7.349602894462e+14       2.447644026086e+14      -7.488997391798e+15       2.089820464612e-04       5.783129752161e-02 
       3.506292630433e+06       6.147020808746e-11       1.321753002157e-01       2.653368821719e+07       1.444367067420e+04       4.119355706218e-03       5.064375048501e+10       7.630848261570e-02       4.158839909610e+14       8.612178827660e+10       5.597916237979e+11       2.920499263205e+03      -4.000000000000e-01       2.875067060313e+14       7.040366104073e+14       7.040366104073e+14       2.344635656629e+14      -7.097161624585e+15       2.091119716224e-04       5.780979102822e-02 
       3.468805385760e+06       6.280579151185e-11       1.336033818880e-01       2.596948451643e+07       1.444366924612e+04       4.163872998335e-03       5.010229211473e+10       7.713292158773e-02       3.983816371320e+14       8.338892417915e+10       5.420280071645e+11       2.864536102138e+03      -4.000000000000e-01       2.754070719831e+14       6.744141260493e+14       6.744141260493e+14       2.245962363705e+14      -6.725827658568e+15       2.092419293927e-04       5.778846705258e-02 
       3.431718932823e+06       6.417039130617e-11       1.350468895835e-01       2.541727921977e+07       1.444366780261e+04       4.208871378011e-03       4.956662270129e+10       7.796626538053e-02       3.816158646484e+14       8.074278083291e+10       5.248280754139e+11       2.809645317790e+03      -4.000000000000e-01       2.638166474281e+14       6.460380829355e+14       6.460380829355e+14       2.151441706910e+14      -6.373922774608e+15       2.093719201448e-04       5.776732703916e-02 
       3.395028986592e+06       6.556463779293e-11       1.365059898562e-01       2.487681715354e+07       1.444366634351e+04       4.254356044144e-03       4.903668035254e+10       7.880861012264e-02       3.655556747036e+14       7.818060636716e+10       5.081739413866e+11       2.755806361054e+03      -4.000000000000e-01       2.527140024367e+14       6.188560316908e+14       6.188560316908e+14       2.060898923790e+14      -6.040430382256e+15       2.095019442558e-04       5.774637244897e-02 
       3.358731307848e+06       6.698917498597e-11       1.379808510519e-01       2.434784857113e+07       1.444366486865e+04       4.300332251813e-03       4.851240383806e+10       7.966005297918e-02       3.501713730668e+14       7.569973623507e+10       4.920482855280e+11       2.702999076620e+03      -4.000000000000e-01       2.420786089512e+14       5.928177300425e+14       5.928177300425e+14       1.974166606716e+14      -5.724387082868e+15       2.096320021070e-04       5.772560475974e-02 
       3.322821702696e+06       6.844466088641e-11       1.394716433388e-01       2.383012903747e+07       1.444366337786e+04       4.346805312885e-03       4.799373258204e+10       8.052069216303e-02       3.354345151800e+14       7.329759044266e+10       4.764343378773e+11       2.651203695393e+03      -4.000000000000e-01       2.318908028313e+14       5.678750499423e+14       5.678750499423e+14       1.891084393361e+14      -5.424879886380e+15       2.097620940842e-04       5.770502546611e-02 
       3.287296022080e+06       6.993176778686e-11       1.409785387132e-01       2.332341931613e+07       1.444366187096e+04       4.393780596625e-03       4.748060665634e+10       8.139062694603e-02       3.213178535659e+14       7.097167086576e+10       4.613158606274e+11       2.600400827109e+03      -4.000000000000e-01       2.221317474960e+14       5.439818885961e+14       5.439818885961e+14       1.811498670196e+14      -5.141043573726e+15       2.098922205773e-04       5.768463607978e-02 
       3.252150161303e+06       7.145118257896e-11       1.425017110323e-01       2.282748525874e+07       1.444366034779e+04       4.441263530322e-03       4.697296677352e+10       8.226995767037e-02       3.077952874492e+14       6.871955865204e+10       4.466771312382e+11       2.550571453011e+03      -4.000000000000e-01       2.127833990964e+14       5.210940832380e+14       5.210940832380e+14       1.735262288475e+14      -4.872058197255e+15       2.100223819810e-04       5.766443812966e-02 
       3.217380059552e+06       7.300360707469e-11       1.440413360269e-01       2.234209769676e+07       1.444365880816e+04       4.489259599910e-03       4.647075428001e+10       8.315878576020e-02       2.948418144978e+14       6.653891170553e+10       4.325029260860e+11       2.501696918831e+03      -4.000000000000e-01       2.038284731535e+14       4.991693294916e+14       4.991693294916e+14       1.662234292161e+14      -4.617146711948e+15       2.101525786943e-04       5.764443316212e-02 
       3.182981699432e+06       7.458975832816e-11       1.455975913213e-01       2.186703233558e+07       1.444365725191e+04       4.537774350606e-03       4.597391114935e+10       8.405721373318e-02       2.824334845955e+14       6.442746225096e+10       4.187785046312e+11       2.453758927748e+03      -4.000000000000e-01       1.952504126004e+14       4.781671031652e+14       4.781671031652e+14       1.592279657310e+14      -4.375572730572e+15       2.102828111207e-04       5.762462274114e-02 
       3.148951106498e+06       7.621036896753e-11       1.471706564589e-01       2.140206965085e+07       1.444365567884e+04       4.586813387551e-03       4.548237997542e+10       8.496534521229e-02       2.705473555596e+14       6.238301447533e+10       4.054895940896e+11       2.406739533567e+03      -4.000000000000e-01       1.870333571694e+14       4.580485853400e+14       4.580485853400e+14       1.525269042420e+14      -4.146638396299e+15       2.104130796685e-04       5.760500844849e-02 
       3.115284348798e+06       7.786618752961e-11       1.487607129147e-01       2.094699478706e+07       1.444365408879e+04       4.636382376451e-03       4.499610396591e+10       8.588328493765e-02       2.591614507222e+14       6.040344224439e+10       3.926223745886e+11       2.360621133927e+03      -4.000000000000e-01       1.791621140676e+14       4.387765906090e+14       4.387765906090e+14       1.461078549290e+14      -3.929682366640e+15       2.105433847503e-04       5.758559188391e-02 
       3.081977536419e+06       7.955797880988e-11       1.503679441248e-01       2.050159745818e+07       1.444365248155e+04       4.686487044241e-03       4.451502693564e+10       8.681113877863e-02       2.482547182969e+14       5.848668689159e+10       3.801634647953e+11       2.315386463806e+03      -4.000000000000e-01       1.716221298862e+14       4.203154983371e+14       4.203154983371e+14       1.399589493934e+14      -3.724077902863e+15       2.106737267839e-04       5.756637466529e-02 
       3.049026821034e+06       8.128652421375e-11       1.519925355042e-01       2.006567185053e+07       1.444365085696e+04       4.737133179738e-03       4.403909330018e+10       8.774901374593e-02       2.378069924556e+14       5.663075507708e+10       3.680999080010e+11       2.271018589017e+03      -4.000000000000e-01       1.643994636921e+14       4.026311868131e+14       4.026311868131e+14       1.340688187150e+14      -3.529231059389e+15       2.108041061914e-04       5.754735842893e-02 
       3.016428395463e+06       8.305262211771e-11       1.536346744633e-01       1.963901652765e+07       1.444364921482e+04       4.788326634315e-03       4.356824806935e+10       8.869701800390e-02       2.277989560430e+14       5.483371671480e+10       3.564191586462e+11       2.227500899879e+03      -4.000000000000e-01       1.574807612526e+14       3.856909701732e+14       3.856909701732e+14       1.284265724310e+14      -3.344578967921e+15       2.109345234000e-04       5.752854482965e-02 
       2.984178493228e+06       8.485708823485e-11       1.552945504354e-01       1.922143433718e+07       1.444364755495e+04       4.840073322574e-03       4.310243684089e+10       8.965526088286e-02       2.182121048605e+14       5.309370296522e+10       3.451090692739e+11       2.184817104953e+03      -4.000000000000e-01       1.508532303435e+14       3.694635379784e+14       3.694635379784e+14       1.230217784005e+14      -3.169588211356e+15       2.110649788416e-04       5.750993554101e-02 
       2.952273388122e+06       8.670075599461e-11       1.569723548982e-01       1.881273231977e+07       1.444364587714e+04       4.892379223033e-03       4.264160579420e+10       9.062385289175e-02       2.090287134532e+14       5.140890429187e+10       3.341578778972e+11       2.142951224996e+03      -4.000000000000e-01       1.445046170977e+14       3.539188973353e+14       3.539188973353e+14       1.178444435161e+14      -3.003753282783e+15       2.111954729531e-04       5.749153225551e-02 
