# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       8.980856820338e+13       9.372567786453e-26       5.162291927263e-09       1.739952088619e+22       1.419153034401e+04       1.580197817191e-10       1.274521020810e+18       2.980024644037e-09       1.789988176302e+44       1.447176523444e+33       9.406647402388e+33       4.215760001176e+16      -4.000000447690e-01       1.237445094279e+44       3.027433270690e+44       3.027433270690e+44       1.009144423527e+44      -7.820469616920e+52       7.645887041530e-06       1.646118170920e+00 
       8.884838741853e+13       9.576240303007e-26       5.216861609370e-09       1.702945872202e+22       1.419153034401e+04       1.597274948521e-10       1.260894586066e+18       3.012229644984e-09       1.714657057307e+44       1.401253919621e+33       9.108150477536e+33       4.134976813968e+16      -4.000000450103e-01       1.185367586236e+44       2.900024643649e+44       2.900024643649e+44       9.666748811811e+43      -7.411254369373e+52       7.781174066071e-06       1.617498013154e+00 
       8.789847232612e+13       9.784338767284e-26       5.273250280879e-09       1.666726723464e+22       1.419153034401e+04       1.614536631689e-10       1.247413837208e+18       3.044782684024e-09       1.642496226007e+44       1.356788557197e+33       8.819125621778e+33       4.055741609408e+16      -4.000000452528e-01       1.135481744601e+44       2.777977970709e+44       2.777977970709e+44       9.259926568692e+43      -7.023451789739e+52       7.916461090613e-06       1.589856054091e+00 
       8.695871317136e+13       9.996959358265e-26       5.331457941793e-09       1.631277902637e+22       1.419153034401e+04       1.631984861142e-10       1.234077216647e+18       3.077687522388e-09       1.573372261788e+44       1.313734194184e+33       8.539272262193e+33       3.978024724756e+16      -4.000000454967e-01       1.087695333746e+44       2.661067595632e+44       2.661067595632e+44       8.870225318445e+43      -6.655941435047e+52       8.051748115155e-06       1.563142986080e+00 
       8.602900137289e+13       1.021420034480e-25       5.387846613303e-09       1.596583025981e+22       1.419153034401e+04       1.649621652876e-10       1.220883183448e+18       3.110947961956e-09       1.507157359005e+44       1.272046055970e+33       8.268299363804e+33       3.901797065729e+16      -4.000000457419e-01       1.041919999751e+44       2.549077358851e+44       2.549077358851e+44       8.496924529186e+43      -6.307661490822e+52       8.187035139696e-06       1.537312760619e+00 
       8.510922951025e+13       1.043616213140e-25       5.446054274216e-09       1.562626058215e+22       1.419153034401e+04       1.667449044677e-10       1.207830213150e+18       3.144567845694e-09       1.443729090674e+44       1.231680788757e+33       8.005925126918e+33       3.827030095541e+16      -4.000000459884e-01       9.980711070464e+43       2.441800197813e+44       2.441800197813e+44       8.139333992402e+43      -5.977605703274e+52       8.322322164238e-06       1.512322323447e+00 
       8.419929131143e+13       1.066294730448e-25       5.506080924533e-09       1.529391305104e+22       1.419153034401e+04       1.685469096351e-10       1.194916797590e+18       3.178551058102e-09       1.382970182115e+44       1.192596414471e+33       7.751876694064e+33       3.753695824196e+16      -4.000000462362e-01       9.560675819248e+43       2.339037764129e+44       2.339037764129e+44       7.796792546798e+43      -5.664820472025e+52       8.457609188780e-06       1.488131375071e+00 
       8.329908164066e+13       1.089466067983e-25       5.564288585447e-09       1.496863406208e+22       1.419153034401e+04       1.703683889965e-10       1.182141444731e+18       3.212901525657e-09       1.324768294116e+44       1.154752287113e+33       7.505889866236e+33       3.681766798058e+16      -4.000000464854e-01       9.158317626413e+43       2.240600056844e+44       2.240600056844e+44       7.468666855858e+43      -5.368402094956e+52       8.592896213322e-06       1.464702153905e+00 
       8.240849648618e+13       1.113140935064e-25       5.624315235764e-09       1.465027327778e+22       1.419153034401e+04       1.722095530087e-10       1.169502678488e+18       3.247623217272e-09       1.269015815230e+44       1.118109050482e+33       7.267708828135e+33       3.611216089483e+16      -4.000000467359e-01       8.772892558222e+43       2.146305071136e+44       2.146305071136e+44       7.154350236842e+43      -5.087494157220e+52       8.728183237864e-06       1.441999239585e+00 
       8.152743294829e+13       1.137330273719e-25       5.686160875484e-09       1.433868355813e+22       1.419153034401e+04       1.740706144030e-10       1.156999038555e+18       3.282720144747e-09       1.215609662805e+44       1.082628597251e+33       7.037085882135e+33       3.542017286865e+16      -4.000000469877e-01       8.403687989172e+43       2.055978461803e+44       2.055978461803e+44       6.853261539073e+43      -4.821285056883e+52       8.863470262406e-06       1.419989374292e+00 
