# Matter power spectrum P(k) at redshift z=0.5
# for k=1.03351e-05 to 30.2616 h/Mpc,
# number of wavenumbers equal to 1162
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.033514901217e-05       2.916638023074e+01 
       1.045482439742e-05       2.949290344472e+01 
       1.057588555833e-05       2.982308360095e+01 
       1.069834854141e-05       3.015696298443e+01 
       1.082222957900e-05       3.049457950191e+01 
       1.094754509140e-05       3.083597555401e+01 
       1.107431168904e-05       3.118119831075e+01 
       1.120254617471e-05       3.153027991797e+01 
       1.133226554573e-05       3.188326958581e+01 
       1.146348699628e-05       3.224021884669e+01 
       1.159622791961e-05       3.260115953484e+01 
       1.173050591039e-05       3.296615026301e+01 
       1.186633876703e-05       3.333520894822e+01 
       1.200374449401e-05       3.370841157280e+01 
       1.214274130433e-05       3.408578530241e+01 
       1.228334762185e-05       3.446739449248e+01 
       1.242558208380e-05       3.485326606405e+01 
       1.256946354319e-05       3.524346512024e+01 
       1.271501107136e-05       3.563802774010e+01 
       1.286224396048e-05       3.603700747872e+01 
       1.301118172610e-05       3.644045592313e+01 
       1.316184410976e-05       3.684842537748e+01 
       1.331425108161e-05       3.726094942770e+01 
       1.346842284301e-05       3.767810491867e+01 
       1.362437982927e-05       3.809992461613e+01 
       1.378214271233e-05       3.852647059793e+01 
       1.394173240347e-05       3.895779611208e+01 
       1.410317005614e-05       3.939394763141e+01 
       1.426647706872e-05       3.983497467057e+01 
       1.443167508739e-05       4.028094605842e+01 
       1.459878600896e-05       4.073190474701e+01 
       1.476783198380e-05       4.118791964871e+01 
       1.493883541877e-05       4.164904123514e+01 
       1.511181898020e-05       4.211531644150e+01 
       1.528680559686e-05       4.258682567674e+01 
       1.546381846305e-05       4.306360019656e+01 
       1.564288104163e-05       4.354571890111e+01 
       1.582401706714e-05       4.403323526016e+01 
       1.600725054898e-05       4.452620706803e+01 
       1.619260577454e-05       4.502470312963e+01 
       1.638010731245e-05       4.552877925177e+01 
       1.656978001585e-05       4.603849854685e+01 
       1.676164902564e-05       4.655392130451e+01 
       1.695573977385e-05       4.707511530496e+01 
       1.715207798701e-05       4.760215543555e+01 
       1.735068968952e-05       4.813508398799e+01 
       1.755160120716e-05       4.867398011827e+01 
       1.775483917052e-05       4.921891547088e+01 
       1.796043051859e-05       4.976993998840e+01 
       1.816840250227e-05       5.032715757702e+01 
       1.837878268802e-05       5.089059703441e+01 
       1.859159896151e-05       5.146034063497e+01 
       1.880687953130e-05       5.203646570766e+01 
       1.902465293261e-05       5.261904758085e+01 
       1.924494803105e-05       5.320815653608e+01 
       1.946779402651e-05       5.380385720286e+01 
       1.969322045698e-05       5.440622695316e+01 
       1.992125720249e-05       5.501534539994e+01 
       2.015193448907e-05       5.563128113153e+01 
       2.038528289273e-05       5.625409927379e+01 
       2.062133334356e-05       5.688390547098e+01 
       2.086011712979e-05       5.752076846958e+01 
       2.110166590195e-05       5.816473821245e+01 
       2.134601167707e-05       5.881594911308e+01 
       2.159318684292e-05       5.947443727084e+01 
       2.184322416229e-05       6.014030387155e+01 
       2.209615677737e-05       6.081361068575e+01 
       2.235201821409e-05       6.149447628498e+01 
       2.261084238662e-05       6.218295378052e+01 
       2.287266360181e-05       6.287912322966e+01 
       2.313751656379e-05       6.358315452159e+01 
       2.340543637853e-05       6.429498987639e+01 
       2.367645855851e-05       6.501482168177e+01 
       2.395061902742e-05       6.574272374325e+01 
       2.422795412495e-05       6.647877343370e+01 
       2.450850061155e-05       6.722306229687e+01 
       2.479229567336e-05       6.797568952252e+01 
       2.507937692710e-05       6.873674064237e+01 
       2.536978242510e-05       6.950631198489e+01 
       2.566355066027e-05       7.028450160241e+01 
       2.596072057129e-05       7.107138725231e+01 
       2.626133154770e-05       7.186711872978e+01 
       2.656542343516e-05       7.267174476532e+01 
       2.687303654072e-05       7.348537971429e+01 
       2.718421163817e-05       7.430812611306e+01 
       2.749898997343e-05       7.514008479325e+01 
       2.781741327002e-05       7.598136198197e+01 
       2.813952373461e-05       7.683205803084e+01 
       2.846536406259e-05       7.769228018682e+01 
       2.879497744374e-05       7.856213563599e+01 
       2.912840756796e-05       7.944173231080e+01 
       2.946569863106e-05       8.033117826669e+01 
       2.980689534060e-05       8.123058420004e+01 
       3.015204292182e-05       8.214006077791e+01 
       3.050118712368e-05       8.305972199079e+01 
       3.085437422485e-05       8.398968137215e+01 
       3.121165103990e-05       8.493005233254e+01 
       3.157306492550e-05       8.588095880573e+01 
       3.193866378665e-05       8.684252352040e+01 
       3.230849608308e-05       8.781483342931e+01 
       3.268261083569e-05       8.879804852832e+01 
       3.306105763295e-05       8.979226730275e+01 
       3.344388663760e-05       9.079762656948e+01 
       3.383114859319e-05       9.181424537018e+01 
       3.422289483088e-05       9.284226297828e+01 
       3.461917727622e-05       9.388176773437e+01 
       3.502004845600e-05       9.493291724711e+01 
       3.542556150528e-05       9.599585537303e+01 
       3.583577017436e-05       9.707068727352e+01 
       3.625072883596e-05       9.815756059761e+01 
       3.667049249241e-05       9.925661855341e+01 
       3.709511678291e-05       1.003679694042e+02 
       3.752465799097e-05       1.014917512662e+02 
       3.795917305179e-05       1.026281589871e+02 
       3.839871955989e-05       1.037772822073e+02 
       3.884335577667e-05       1.049392924624e+02 
       3.929314063819e-05       1.061142503529e+02 
       3.974813376293e-05       1.073024355533e+02 
       4.020839545976e-05       1.085039046779e+02 
       4.067398673585e-05       1.097188373236e+02 
       4.114496930482e-05       1.109473682080e+02 
       4.162140559491e-05       1.121896650559e+02 
       4.210335875723e-05       1.134458573268e+02 
       4.259089267415e-05       1.147161618624e+02 
       4.308407196776e-05       1.160006573538e+02 
       4.358296200844e-05       1.172995543780e+02 
       4.408762892353e-05       1.186130087026e+02 
       4.459813960607e-05       1.199412007899e+02 
       4.511456172372e-05       1.212841943372e+02 
       4.563696372765e-05       1.226423140534e+02 
       4.616541486170e-05       1.240156323818e+02 
       4.669998517148e-05       1.254042680478e+02 
       4.724074551371e-05       1.268085600524e+02 
       4.778776756559e-05       1.282285102586e+02 
       4.834112383430e-05       1.296643637729e+02 
       4.890088766661e-05       1.311163700803e+02 
       4.946713325861e-05       1.325846210181e+02 
       5.003993566555e-05       1.340692733613e+02 
       5.061937081176e-05       1.355705724383e+02 
       5.120551550074e-05       1.370887378197e+02 
       5.179844742533e-05       1.386238496892e+02 
       5.239824517803e-05       1.401762335791e+02 
       5.300498826137e-05       1.417459525555e+02 
       5.361875709849e-05       1.433332971214e+02 
       5.423963304378e-05       1.449383945269e+02 
       5.486769839368e-05       1.465615248308e+02 
       5.550303639758e-05       1.482028376705e+02 
       5.614573126883e-05       1.498625493135e+02 
       5.679586819595e-05       1.515408284005e+02 
       5.745353335387e-05       1.532378530519e+02 
       5.811881391541e-05       1.549539626009e+02 
       5.879179806279e-05       1.566893343574e+02 
       5.947257499931e-05       1.584441458745e+02 
       6.016123496124e-05       1.602185250118e+02 
       6.085786922969e-05       1.620128809171e+02 
       6.156257014279e-05       1.638273228581e+02 
       6.227543110788e-05       1.656620903182e+02 
       6.299654661391e-05       1.675174853536e+02 
       6.372601224395e-05       1.693937228415e+02 
       6.446392468790e-05       1.712907954901e+02 
       6.521038175524e-05       1.732092626188e+02 
       6.596548238804e-05       1.751491711079e+02 
       6.672932667409e-05       1.771108538565e+02 
       6.750201586010e-05       1.790945405639e+02 
       6.828365236521e-05       1.811004374822e+02 
       6.907433979447e-05       1.831289582801e+02 
       6.987418295265e-05       1.851800645083e+02 
       7.068328785810e-05       1.872540493377e+02 
       7.150176175679e-05       1.893515216062e+02 
       7.232971313655e-05       1.914724358134e+02 
       7.316725174145e-05       1.936171010717e+02 
       7.401448858631e-05       1.957858357821e+02 
       7.487153597147e-05       1.979788583534e+02 
       7.573850749762e-05       2.001965241857e+02 
       7.661551808090e-05       2.024389825489e+02 
       7.750268396812e-05       2.047066669579e+02 
       7.840012275214e-05       2.069997479866e+02 
       7.930795338752e-05       2.093185510475e+02 
       8.022629620622e-05       2.116633500852e+02 
       8.115527293358e-05       2.140344484325e+02 
       8.209500670447e-05       2.164321396343e+02 
       8.304562207957e-05       2.188567130592e+02 
       8.400724506192e-05       2.213085000404e+02 
       8.498000311362e-05       2.237877187822e+02 
       8.596402517268e-05       2.262948453684e+02 
       8.695944167016e-05       2.288300499073e+02 
       8.796638454745e-05       2.313937112019e+02 
       8.898498727372e-05       2.339861466987e+02 
       9.001538486368e-05       2.366076445640e+02 
       9.105771389539e-05       2.392585291685e+02 
       9.211211252845e-05       2.419392190664e+02 
       9.317872052226e-05       2.446499426075e+02 
       9.425767925454e-05       2.473910835423e+02 
       9.534913174012e-05       2.501629702565e+02 
       9.645322264982e-05       2.529659926240e+02 
       9.757009832971e-05       2.558004426545e+02 
       9.869990682046e-05       2.586667229822e+02 
       9.984279787694e-05       2.615651424305e+02 
       1.009989229881e-04       2.644961412127e+02 
       1.021684353972e-04       2.674600107526e+02 
       1.033514901217e-04       2.704571051656e+02 
       1.045482439742e-04       2.734879103412e+02 
       1.057588555833e-04       2.765526854333e+02 
       1.069834854141e-04       2.796518750567e+02 
       1.082222957900e-04       2.827858870780e+02 
       1.094754509140e-04       2.859551187069e+02 
       1.107431168904e-04       2.891598438807e+02 
       1.120254617471e-04       2.924005947399e+02 
       1.133226554573e-04       2.956777061640e+02 
       1.146348699628e-04       2.989916895518e+02 
       1.159622791961e-04       3.023428247161e+02 
       1.173050591039e-04       3.057315964403e+02 
       1.186633876703e-04       3.091584221937e+02 
       1.200374449401e-04       3.126238023294e+02 
       1.214274130433e-04       3.161280160754e+02 
       1.228334762185e-04       3.196716389518e+02 
       1.242558208380e-04       3.232550941181e+02 
       1.256946354319e-04       3.268787068473e+02 
       1.271501107136e-04       3.305431340988e+02 
       1.286224396048e-04       3.342486625113e+02 
       1.301118172610e-04       3.379958429540e+02 
       1.316184410976e-04       3.417851097655e+02 
       1.331425108161e-04       3.456169507266e+02 
