# Matter power spectrum P(k) at redshift z=0.5
# for k=1.0772e-05 to 30.1211 h/Mpc,
# number of wavenumbers equal to 1158
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.077198129387e-05       2.351742917711e+01 
       1.089671495855e-05       2.378075967903e+01 
       1.102289297099e-05       2.404701951690e+01 
       1.115053205596e-05       2.431630561098e+01 
       1.127964913188e-05       2.458857987640e+01 
       1.141026131307e-05       2.486390843369e+01 
       1.154238591204e-05       2.514232503621e+01 
       1.167604044176e-05       2.542385316242e+01 
       1.181124261799e-05       2.570855269436e+01 
       1.194801036164e-05       2.599642645725e+01 
       1.208636180112e-05       2.628750867973e+01 
       1.222631527476e-05       2.658189105996e+01 
       1.236788933325e-05       2.687954313778e+01 
       1.251110274208e-05       2.718054628831e+01 
       1.265597448402e-05       2.748491410832e+01 
       1.280252376167e-05       2.779269479247e+01 
       1.295076999998e-05       2.810390293842e+01 
       1.310073284883e-05       2.841863683535e+01 
       1.325243218562e-05       2.873687638969e+01 
       1.340588811795e-05       2.905865993525e+01 
       1.356112098622e-05       2.938407140721e+01 
       1.371815136639e-05       2.971315626051e+01 
       1.387700007267e-05       3.004588163874e+01 
       1.403768816028e-05       3.038234930392e+01 
       1.420023692825e-05       3.072259359159e+01 
       1.436466792224e-05       3.106666933786e+01 
       1.453100293740e-05       3.141459045738e+01 
       1.469926402126e-05       3.176640292547e+01 
       1.486947347665e-05       3.212213210491e+01 
       1.504165386464e-05       3.248187773837e+01 
       1.521582800756e-05       3.284565161374e+01 
       1.539201899200e-05       3.321350637399e+01 
       1.557025017189e-05       3.358546991823e+01 
       1.575054517157e-05       3.396162072777e+01 
       1.593292788895e-05       3.434197986468e+01 
       1.611742249867e-05       3.472659534020e+01 
       1.630405345528e-05       3.511553139569e+01 
       1.649284549651e-05       3.550882082318e+01 
       1.668382364656e-05       3.590653237452e+01 
       1.687701321935e-05       3.630868579388e+01 
       1.707243982197e-05       3.671533495786e+01 
       1.727012935799e-05       3.712655005214e+01 
       1.747010803096e-05       3.754237415111e+01 
       1.767240234782e-05       3.796291906111e+01 
       1.787703912247e-05       3.838813285355e+01 
       1.808404547929e-05       3.881811273514e+01 
       1.829344885675e-05       3.925288832676e+01 
       1.850527701104e-05       3.969256052900e+01 
       1.871955801976e-05       4.013720713509e+01 
       1.893632028561e-05       4.058680848427e+01 
       1.915559254021e-05       4.104142746513e+01 
       1.937740384785e-05       4.150116348879e+01 
       1.960178360938e-05       4.196604597264e+01 
       1.982876156610e-05       4.243617162430e+01 
       2.005836780368e-05       4.291152341759e+01 
       2.029063275620e-05       4.339224938074e+01 
       2.052558721010e-05       4.387835152476e+01 
       2.076326230836e-05       4.436989385267e+01 
       2.100368955454e-05       4.486699153911e+01 
       2.124690081703e-05       4.536966475084e+01 
       2.149292833320e-05       4.587791197306e+01 
       2.174180471375e-05       4.639190181979e+01 
       2.199356294696e-05       4.691166957714e+01 
       2.224823640312e-05       4.743727672530e+01 
       2.250585883891e-05       4.796874915833e+01 
       2.276646440192e-05       4.850620763272e+01 
       2.303008763512e-05       4.904969627443e+01 
       2.329676348149e-05       4.959928932204e+01 
       2.356652728863e-05       5.015505851164e+01 
       2.383941481343e-05       5.071702699658e+01 
