# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       8.034675155132e+10       1.171001631425e-19       5.769390554633e-06       1.392638504890e+16       1.445616702555e+04       1.799222338957e-07       1.161506060401e+15       3.330959105265e-06       1.146706734293e+32       1.036270557580e+24       6.735758624271e+24       5.756213548934e-05      -9.000000000000e-01       7.927351932899e+31       1.939442005304e+32       1.939442005304e+32       6.464806425278e+31      -4.482141806887e+37       8.898569686116e-05       1.311205225157e-01 
       7.948773098670e+10       1.196448323827e-19       5.831740054418e-06       1.363019136790e+16       1.445616702549e+04       1.818666459070e-07       1.149087915636e+15       3.366956639759e-06       1.098447923092e+32       1.003387048555e+24       6.522015815608e+24       5.737681417763e-05      -9.000000000000e-01       7.593731689101e+31       1.857821167256e+32       1.857821167256e+32       6.192736973339e+31      -4.247608479388e+37       8.911111436031e-05       1.309359804121e-01 
       7.863789456850e+10       1.222447990419e-19       5.894762580283e-06       1.334029728990e+16       1.445616702543e+04       1.838320710971e-07       1.136802538425e+15       3.403343198066e-06       1.052220069578e+32       9.715470171795e+23       6.315055611667e+24       5.719208950794e-05      -9.000000000000e-01       7.274151753846e+31       1.779635317829e+32       1.779635317829e+32       5.932117483210e+31      -4.025347383363e+37       8.923653186006e-05       1.307519570440e-01 
       7.779714410519e+10       1.249012648594e-19       5.958467227174e-06       1.305656883163e+16       1.445616702536e+04       1.858187365546e-07       1.124648509295e+15       3.440122984390e-06       1.007937701505e+32       9.407173512452e+23       6.114662783093e+24       5.700795955938e-05      -9.000000000000e-01       6.968021244934e+31       1.704739896552e+32       1.704739896552e+32       5.682466086660e+31      -3.814716359903e+37       8.936194936041e-05       1.305684502289e-01 
       7.696538245503e+10       1.276154575001e-19       6.022861271049e-06       1.277887485946e+16       1.445616702530e+04       1.878268718220e-07       1.112624423950e+15       3.477300248283e-06       9.655189436955e+31       9.108659892784e+23       5.920628930310e+24       5.682442241723e-05      -9.000000000000e-01       6.674774147264e+31       1.632996426737e+32       1.632996426737e+32       5.443321194740e+31      -3.615106851819e+37       8.948736686139e-05       1.303854577933e-01 
       7.614251351489e+10       1.303886315211e-19       6.087950168876e-06       1.250708702875e+16       1.445616702524e+04       1.898567089228e-07       1.100728893107e+15       3.514879285318e-06       9.248853666682e+31       8.819618871981e+23       5.732752266787e+24       5.664147617297e-05      -9.000000000000e-01       6.393868266315e+31       1.564272259447e+32       1.564272259447e+32       5.214240644332e+31      -3.425942145390e+37       8.961278436298e-05       1.302029775795e-01 
       7.532844220911e+10       1.332220685249e-19       6.153741196613e-06       1.224107972458e+16       1.445616702517e+04       1.919084823877e-07       1.088960542335e+15       3.552864437396e-06       8.859618416216e+31       8.539749860308e+23       5.550837409200e+24       5.645911892420e-05      -9.000000000000e-01       6.124784225656e+31       1.498440328235e+32       1.498440328235e+32       4.994800880624e+31      -3.246675704117e+37       8.973820186521e-05       1.300210074381e-01 
       7.452307447850e+10       1.361170781472e-19       6.220245268196e-06       1.198073000368e+16       1.445616702510e+04       1.939824292821e-07       1.077318011900e+15       3.591260093417e-06       8.486764015277e+31       8.268761806513e+23       5.374695174233e+24       5.627734877464e-05      -9.000000000000e-01       5.867024506664e+31       1.435378914210e+32       1.435378914210e+32       4.784596173980e+31      -3.076789589664e+37       8.986361936807e-05       1.298395452350e-01 
       7.372631726954e+10       1.390749983612e-19       6.287466021604e-06       1.172591753758e+16       1.445616702504e+04       1.960787892333e-07       1.065799956604e+15       3.630070689663e-06       8.129601080692e+31       8.006372895139e+23       5.204142381841e+24       5.609616383413e-05      -9.000000000000e-01       5.620112528635e+31       1.374971420981e+32       1.374971420981e+32       4.583237869776e+31      -2.915792965428e+37       8.998903687158e-05       1.296585888457e-01 
       7.293807852353e+10       1.420971962581e-19       6.355414370773e-06       1.147652455704e+16       1.445616702497e+04       1.981978044583e-07       1.054405045631e+15       3.669300710373e-06       7.787469241778e+31       7.752310253457e+23       5.039001664747e+24       5.591556221858e-05      -9.000000000000e-01       5.383591767623e+31       1.317106159082e+32       1.317106159082e+32       4.390353669800e+31      -2.763220678405e+37       9.011445437575e-05       1.294781361586e-01 
       7.215826716606e+10       1.451850686755e-19       6.424097591662e-06       1.123243579758e+16       1.445616702490e+04       2.003397197916e-07       1.043131962394e+15       3.708954688268e-06       7.459735919351e+31       7.506309667683e+23       4.879101283994e+24       5.573554204999e-05      -9.000000000000e-01       5.157024912357e+31       1.261676139468e+32       1.261676139468e+32       4.205586943903e+31      -2.618631915269e+37       9.023987188057e-05       1.292981850740e-01 
       7.138679309641e+10       1.483400426977e-19       6.493522960227e-06       1.099353844625e+16       1.445616702483e+04       2.025047827139e-07       1.031979404383e+15       3.749037205004e-06       7.145795156137e+31       7.268115308211e+23       4.724274950337e+24       5.555610145639e-05      -9.000000000000e-01       4.939993055679e+31       1.208578875692e+32       1.208578875692e+32       4.028596070605e+31      -2.481608928766e+37       9.036528938606e-05       1.291187335024e-01 
