# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       8.240849648618e+13       1.113140949343e-25       5.624315235764e-09       1.465027327778e+22       1.450420799504e+04       1.760037934617e-10       1.195269973594e+18       3.247623219749e-09       1.269015815230e+44       1.118109050482e+33       7.267708828135e+33       3.495814895666e-08      -1.000000000000e+00       8.772892558222e+43       2.146305071136e+44       2.146305071136e+44       7.154350236842e+43      -5.087494157220e+52       7.995227281208e-06       1.441999238857e+00 
       8.152743294829e+13       1.137330287973e-25       5.686160875484e-09       1.433868355813e+22       1.450420799504e+04       1.779058590529e-10       1.182490844784e+18       3.282720147211e-09       1.215609662805e+44       1.082628597251e+33       7.037085882135e+33       3.495814895666e-08      -1.000000000000e+00       8.403687989172e+43       2.055978461803e+44       2.055978461803e+44       6.853261539073e+43      -4.821285056883e+52       8.119153472877e-06       1.419989373602e+00 
       8.065578922741e+13       1.162045278021e-25       5.748006515205e-09       1.403372089257e+22       1.450420799504e+04       1.798284801869e-10       1.169848342959e+18       3.318196365696e-09       1.164451092389e+44       1.048274029337e+33       6.813781190687e+33       3.495814895666e-08      -1.000000000000e+00       8.050021284391e+43       1.969453220907e+44       1.969453220907e+44       6.564844069427e+43      -4.569005660032e+52       8.243079664548e-06       1.398641299539e+00 
       7.979346461238e+13       1.187297342356e-25       5.809852154925e-09       1.373524433343e+22       1.450420799504e+04       1.817718790067e-10       1.157341007383e+18       3.354055974191e-09       1.115445515164e+44       1.015009619523e+33       6.597562526903e+33       3.495814895666e-08      -1.000000000000e+00       7.711238537489e+43       1.886569368989e+44       1.886569368989e+44       6.288564563044e+43      -4.329927078592e+52       8.367005856219e-06       1.377925610716e+00 
       7.894035946874e+13       1.213098151994e-25       5.871697794646e-09       1.344311593077e+22       1.450420799504e+04       1.837362800557e-10       1.144967392938e+18       3.390303115977e-09       1.068502323054e+44       9.828007743140e+32       6.388205033041e+33       3.495814895666e-08      -1.000000000000e+00       7.386713361536e+43       1.807173659281e+44       1.807173659281e+44       6.023912197359e+43      -4.103358564408e+52       8.490932047892e-06       1.357814617910e+00 
       7.809637522728e+13       1.239459631418e-25       5.935362423770e-09       1.315720066867e+22       1.450420799504e+04       1.857219103042e-10       1.132726069956e+18       3.426941979100e-09       1.023534721195e+44       9.516139979498e+32       6.185490986674e+33       3.495814895666e-08      -1.000000000000e+00       7.075845730907e+43       1.731119294357e+44       1.731119294357e+44       5.770397647618e+43      -3.888645513535e+52       8.614858239565e-06       1.338282225163e+00 
       7.726141437266e+13       1.266393964496e-25       5.999027052894e-09       1.287736640279e+22       1.450420799504e+04       1.877289991752e-10       1.120615624052e+18       3.463976796880e-09       9.804595674597e+43       9.214168575783e+32       5.989209574259e+33       3.495814895666e-08      -1.000000000000e+00       6.778060871876e+43       1.658265654716e+44       1.658265654716e+44       5.527552182158e+43      -3.685167574947e+52       8.738784431239e-06       1.319303816798e+00 
       7.643538043208e+13       1.293913599523e-25       6.064510671422e-09       1.260348379929e+22       1.450420799504e+04       1.897577785713e-10       1.108634655967e+18       3.501411848368e-09       9.391972187335e+43       8.921779495243e+32       5.799156671908e+33       3.495814895666e-08      -1.000000000000e+00       6.492808199900e+43       1.588478038790e+44       1.588478038790e+44       5.294926795745e+43      -3.492336858213e+52       8.862710622913e-06       1.300856153932e+00 
       7.561817796419e+13       1.322031255632e-25       6.129994289950e-09       1.233542627510e+22       1.450420799504e+04       1.918084829009e-10       1.096781781399e+18       3.539251458880e-09       8.996713836576e+43       8.638668666313e+32       5.615134633104e+33       3.495814895666e-08      -1.000000000000e+00       6.219560301621e+43       1.521627413884e+44       1.521627413884e+44       5.072091379399e+43      -3.309596234957e+52       8.986636814586e-06       1.282917279540e+00 
       7.480971254804e+13       1.350759928562e-25       6.197296897881e-09       1.207306993936e+22       1.450420799504e+04       1.938813491060e-10       1.085055630846e+18       3.577500000478e-09       8.618089815724e+43       8.364541666394e+32       5.436952083156e+33       3.495814895666e-08      -1.000000000000e+00       5.957811959714e+43       1.457590177607e+44       1.457590177607e+44       4.858633925146e+43      -3.136417729201e+52       9.110563006260e-06       1.265466431284e+00 
