# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.951776763921e+13       1.984421159208e-24       2.375054464210e-08       8.217922311219e+20       1.385745002626e+04       7.099915462883e-10       2.704664896844e+17       1.371221091564e-08       3.993003082279e+41       1.485451993777e+31       9.655437959552e+31       1.640101879845e+16      -4.000000000000e-01       2.760421627931e+41       6.753424711323e+41       6.753424711323e+41       2.251141570070e+41      -3.791357060164e+49       2.997376372704e-05       4.686376059777e-01 
       1.930909506124e+13       2.027544032397e-24       2.400702214800e-08       8.043139216024e+20       1.385745002626e+04       7.176643950587e-10       2.675748198634e+17       1.386039820211e-08       3.824958737449e+41       1.438314811613e+31       9.349046275486e+31       1.608673936403e+16      -4.000000000000e-01       2.644250106306e+41       6.469208844834e+41       6.469208844834e+41       2.156402947918e+41      -3.592969854038e+49       3.012475285400e-05       4.662887341630e-01 
       1.910265348867e+13       2.071603996061e-24       2.426713763271e-08       7.872073499651e+20       1.385745002626e+04       7.254201639829e-10       2.647140660881e+17       1.401018694234e-08       3.663986488795e+41       1.392673412518e+31       9.052377181370e+31       1.577848221171e+16      -4.000000000000e-01       2.532967628551e+41       6.196954118391e+41       6.196954118391e+41       2.065651372449e+41      -3.404963491217e+49       3.027574198095e-05       4.639632906167e-01 
       1.889841906887e+13       2.116621413847e-24       2.452907210682e-08       7.704646098933e+20       1.385745002626e+04       7.332597491755e-10       2.618838978222e+17       1.416159444319e-08       3.509788709258e+41       1.348480331479e+31       8.765122154615e+31       1.547613194143e+16      -4.000000000000e-01       2.426368440711e+41       5.936157150980e+41       5.936157150980e+41       1.978719049990e+41      -3.226794781897e+49       3.042673110791e-05       4.616609265586e-01 
       1.869636820427e+13       2.162617091932e-24       2.479282557033e-08       7.540779632257e+20       1.385745002626e+04       7.411840564355e-10       2.590839880633e+17       1.431463819853e-08       3.362080297322e+41       1.305689609668e+31       8.486982462843e+31       1.517957536448e+16      -4.000000000000e-01       2.324255447925e+41       5.686335746227e+41       5.686335746227e+41       1.895445248416e+41      -3.057948959316e+49       3.057772023488e-05       4.593813000975e-01 
       1.849647754957e+13       2.209612288586e-24       2.506203600205e-08       7.380398363806e+20       1.385745002626e+04       7.491940013507e-10       2.563140133050e+17       1.446933589129e-08       3.220588149887e+41       1.264256746648e+31       8.217668853215e+31       1.488870146095e+16      -4.000000000000e-01       2.226439850012e+41       5.447028000847e+41       5.447028000847e+41       1.815675999966e+41      -2.897938192488e+49       3.072870936184e-05       4.571240760618e-01 
       1.829872400906e+13       2.257628724034e-24       2.533306542318e-08       7.223428168549e+20       1.385745002626e+04       7.572905094036e-10       2.535736534998e+17       1.462570539551e-08       3.085050657312e+41       1.224138654096e+31       7.956901251623e+31       1.460340133828e+16      -4.000000000000e-01       2.132740792388e+41       5.217791450619e+41       5.217791450619e+41       1.739263816567e+41      -2.746300176757e+49       3.087969848880e-05       4.548889258353e-01 
       1.810308473396e+13       2.306688590528e-24       2.560591383372e-08       7.069796497988e+20       1.385745002626e+04       7.654745160783e-10       2.508625920220e+17       1.478376477839e-08       2.955217219724e+41       1.185293610988e+31       7.704408471425e+31       1.432356819068e+16      -4.000000000000e-01       2.042985031683e+41       4.998202252296e+41       4.998202252296e+41       1.666067417136e+41      -2.602596798098e+49       3.103068761577e-05       4.526755271978e-01 
       1.790953711979e+13       2.356814562578e-24       2.588240022305e-08       6.919432346622e+20       1.385745002626e+04       7.737469669689e-10       2.481805156309e+17       1.494353230236e-08       2.830847783667e+41       1.147681220219e+31       7.459927931425e+31       1.404909725899e+16      -4.000000000000e-01       1.957006615420e+41       4.787854399948e+41       4.787854399948e+41       1.595951466362e+41      -2.466412867317e+49       3.118167674273e-05       4.504835641702e-01 
       1.771805880372e+13       2.408029807418e-24       2.616252459120e-08       6.772266219135e+20       1.385745002626e+04       7.821088178883e-10       2.455271144349e+17       1.510502642725e-08       2.711712398265e+41       1.111262366584e+31       7.223205382795e+31       1.377988579145e+16      -4.000000000000e-01       1.874646575185e+41       4.586358974283e+41       4.586358974283e+41       1.528786324483e+41      -2.337354920483e+49       3.133266586970e-05       4.483127268640e-01 
